"","timestamp","value","cluster"
"91763",2019-03-29 11:35:00,7130,"3"
"76215",2019-03-19 05:14:43,536,"2"
"65800",2019-03-11 04:22:48,7450,"7"
"62254",2019-03-07 18:22:06,7019,"4"
"98562",2019-04-02 19:00:42,7015,"3"
"85429",2019-03-24 03:45:02,6449,"5"
"78254",2019-03-20 13:42:56,397,"2"
"99127",2019-04-03 07:15:45,7648,"1"
"93423",2019-03-30 22:11:48,674,"2"
"102830",2019-04-07 01:16:34,7123,"1"
"69036",2019-03-14 04:06:16,7365,"5"
"84367",2019-03-23 06:46:38,7845,"3"
"63463",2019-03-08 23:35:21,7338,"5"
"64727",2019-03-10 04:42:39,7857,"4"
"90981",2019-03-28 19:20:13,7262,"3"
"85248",2019-03-24 00:32:11,7198,"4"
"76707",2019-03-19 15:33:48,385,"2"
"65006",2019-03-10 11:25:01,7304,"7"
"68468",2019-03-13 16:00:09,7068,"4"
"82805",2019-03-21 22:51:42,7524,"3"
"77615",2019-03-20 11:59:14,385,"2"
"81501",2019-03-21 01:06:46,451,"4"
"64024",2019-03-09 12:24:40,7539,"7"
"80586",2019-03-20 20:13:26,527,"6"
"89773",2019-03-27 13:34:39,6926,"1"
"67368",2019-03-12 19:19:27,7639,"5"
"90598",2019-03-28 11:01:39,7072,"3"
"76125",2019-03-19 02:47:12,536,"2"
"75295",2019-03-18 11:02:41,1122,"4"
"74613",2019-03-17 23:33:19,7468,"7"
"63324",2019-03-08 20:18:06,7044,"5"
"79393",2019-03-20 16:20:54,385,"6"
"84426",2019-03-23 08:28:32,7577,"1"
"74131",2019-03-17 09:59:43,7245,"4"
"94385",2019-03-31 11:07:16,6607,"3"
"91292",2019-03-29 01:35:47,6913,"4"
"103036",2019-04-07 06:40:59,7163,"3"
"81080",2019-03-21 00:04:09,397,"2"
"96391",2019-04-02 04:43:08,6550,"1"
"75561",2019-03-18 11:55:58,385,"2"
"82175",2019-03-21 12:52:01,5757,"1"
"89942",2019-03-27 18:21:31,7189,"4"
"69763",2019-03-14 23:14:02,7299,"5"
"70822",2019-03-15 04:12:42,653,"6"
"75112",2019-03-18 10:01:20,1895,"4"
"67082",2019-03-12 12:51:34,7491,"7"
"100883",2019-04-05 05:42:15,7322,"3"
"64905",2019-03-10 08:58:14,7483,"5"
"99824",2019-04-04 01:47:53,6797,"3"
"81767",2019-03-21 05:55:39,5361,"5"
"84763",2019-03-23 16:21:47,7281,"4"
"92973",2019-03-30 14:19:13,6854,"4"
"87626",2019-03-25 15:18:42,6217,"4"
"65183",2019-03-10 14:30:03,7828,"5"
"97378",2019-04-02 15:49:06,645,"6"
"76401",2019-03-19 06:17:44,527,"5"
"84710",2019-03-23 15:27:11,6798,"1"
"71495",2019-03-15 08:31:06,4878,"4"
"70476",2019-03-15 03:46:10,631,"2"
"66493",2019-03-11 22:26:56,7475,"7"
"77030",2019-03-19 18:25:38,491,"6"
"78566",2019-03-20 14:27:49,397,"4"
"69364",2019-03-14 11:19:27,7045,"7"
"87170",2019-03-25 13:43:40,609,"6"
"102353",2019-04-06 15:17:57,6893,"1"
"68123",2019-03-13 09:59:56,7284,"5"
"92133",2019-03-29 19:26:32,6810,"3"
"89778",2019-03-27 13:42:07,7007,"4"
