Sample_Index,Max_diff_time_hours,Time_period,Value_min,Value_max,Range,Mean,Sd,Median
383,6.386509167,32.88,9.48,16.91,7.43,12.11,1.89,11.82
384,6.386509167,33.01,9.48,16.91,7.43,12.16,1.91,11.86
385,6.386509167,32.69,9.48,16.91,7.43,12.22,1.94,11.97
386,2.151343611,27.05,9.48,16.85,7.37,12.24,1.97,11.99
387,2.151343611,25.46,9.49,16.85,7.36,12.32,2.01,12.06
388,2.151343611,25.75,9.5,16.85,7.35,12.24,1.98,11.98
389,2.151343611,26.22,9.5,16.85,7.35,12.17,1.91,11.9
390,0.236887222,22.59,9.51,16.74,7.23,12.24,1.88,11.97
391,0.191483333,22.1,9.51,16.74,7.23,12.19,1.83,11.94
392,0.191483333,22.1,9.5,16.74,7.24,12.21,1.83,11.94
393,0.175828889,23.41,9.5,16.74,7.24,12.19,1.87,11.9
394,0.175828889,24.66,9.5,16.84,7.34,12.11,1.84,11.81
395,0.175828889,25.03,9.5,16.84,7.34,12.09,1.85,11.82
396,0.165215833,23.8,9.5,16.84,7.34,12.1,1.82,11.86
397,0.165215833,22.41,9.5,17.1,7.6,12.11,1.8,11.88
398,0.165215833,23.76,9.49,17.1,7.61,12.04,1.83,11.75
399,0.165215833,24.66,9.49,17.1,7.61,11.99,1.85,11.69
