Sample_Index,Max_diff_time_hours,Time_period,Value_min,Value_max,Range,Mean,Sd,Median
74,11.68284722,49.15,0,16.35,16.35,11.59,2.21,11.37
75,11.68284722,48.18,0,16.35,16.35,11.67,2.23,11.38
76,11.68284722,48.22,0,16.36,16.36,11.75,2.26,11.48
77,0.280678611,23.56,8.95,16.36,7.41,11.83,1.96,11.59
78,0.327761944,24.14,8.95,16.36,7.41,11.75,1.92,11.56
79,0.327761944,23.56,8.97,16.36,7.4,11.75,1.93,11.58
80,0.327761944,23.25,8.97,16.1,7.13,11.74,1.92,11.59
81,0.327761944,22.94,8.97,16.11,7.14,11.7,1.92,11.53
82,0.157438056,21.73,8.97,16.11,7.14,11.67,1.9,11.46
83,0.157438056,23.24,8.97,16.14,7.17,11.63,1.88,11.4
84,0.153224167,23.01,8.98,16.14,7.17,11.61,1.86,11.42
85,0.156877778,22.83,8.98,16.14,7.17,11.66,1.84,11.47
86,0.156877778,23.35,8.98,16.14,7.17,11.69,1.85,11.48
87,0.156877778,22.14,8.97,16.09,7.12,11.75,1.84,11.53
88,0.156877778,21.99,8.97,16.26,7.29,11.74,1.84,11.5
89,0.172078889,21.73,8.97,16.26,7.29,11.74,1.85,11.53
90,0.172078889,21.84,8.97,16.26,7.29,11.72,1.84,11.57
91,0.172078889,23.07,8.96,16.26,7.3,11.67,1.83,11.52
92,0.172078889,23.62,8.96,16.14,7.17,11.65,1.83,11.49
93,0.161309167,23.09,8.96,16.14,7.17,11.64,1.84,11.45
94,0.202008333,22.37,8.96,16.14,7.17,11.7,1.86,11.51
95,0.202008333,21.63,8.98,16.14,7.16,11.81,1.86,11.69
96,0.202008333,21.54,8.98,16.34,7.36,11.81,1.86,11.65
97,0.202008333,22.7,8.98,16.34,7.36,11.78,1.85,11.6
98,0.16844,23.44,8.98,16.34,7.36,11.7,1.85,11.47
99,0.188111111,23.34,8.98,16.34,7.36,11.6,1.85,11.37
100,0.188111111,23.91,8.99,15.98,6.99,11.62,1.87,11.43
