"Name","Length"
"T10_804_R684.H5",46
"T10_804_R688.H5",26
"T10_804_R692.H5",57
"T10_804_R696.H5",55
"T10_804_R706.H5",30
"T10_804_R712.H5",983
"T10_804_R716.H5",971
"T10_804_R724.H5",56
"T10_804_R728.H5",945
"T10_804_R736.H5",51
"T10_804_R740.H5",50
"T10_804_R744.H5",50
"T10_804_R748.H5",30
"T10_804_R752.H5",50
"T10_804_R756.H5",49
"T10_804_R766.H5",39
"T10_804_R772.H5",976
"T10_804_R776.H5",968
"T10_804_R784.H5",56
"T10_804_R788.H5",937
"T10_804_R796.H5",44
"T10_804_R800.H5",44
"T10_804_R804.H5",46
"T10_804_R808.H5",26
"T10_804_R812.H5",49
"T10_804_R816.H5",44
"T10_804_R826.H5",40
"T10_804_R832.H5",1082
"T10_804_R836.H5",1068
"T10_804_R844.H5",65
"T10_804_R848.H5",939
"T10_804_R856.H5",57
"T10_804_R860.H5",62
"T10_804_R864.H5",55
"T10_804_R868.H5",29
"T10_804_R872.H5",50
"T10_804_R876.H5",48
"T10_804_R886.H5",42
"T10_804_R892.H5",779
"T10_804_R896.H5",741
"T10_804_R904.H5",55
"T10_804_R908.H5",929
"T10_804_R916.H5",53
"T10_804_R920.H5",50
"T10_804_R924.H5",46
"T10_804_R928.H5",27
"T10_804_R932.H5",47
"T10_804_R936.H5",43
"T10_804_R946.H5",49
"T10_804_R952.H5",6593
"T10_804_R956.H5",4635
"T10_804_R964.H5",45
"T10_804_R968.H5",927
"T10_804_R976.H5",40
"T10_804_R980.H5",39
"T10_804_R984.H5",45
"T10_804_R988.H5",23
"T10_804_R992.H5",48
"T10_804_R996.H5",43
"T10_805_R004.H5",1001
"T10_805_R008.H5",996
"T10_805_R016.H5",977
"T10_805_R020.H5",936
"T10_805_R024.H5",941
"T10_805_R028.H5",944
"T10_805_R032.H5",916
"T10_805_R036.H5",922
"T10_805_R046.H5",907
"T10_805_R052.H5",990
"T10_805_R056.H5",989
"T10_805_R064.H5",936
"T10_805_R068.H5",956
"T10_805_R076.H5",918
"T10_805_R080.H5",933
"T10_805_R084.H5",923
"T10_805_R088.H5",883
"T10_805_R092.H5",923
"T10_805_R096.H5",921
"T10_805_R106.H5",897
"T10_805_R112.H5",1055
"T10_805_R116.H5",1020
"T10_805_R124.H5",912
"T10_805_R128.H5",936
"T10_805_R136.H5",905
"T10_805_R140.H5",912
"T10_805_R144.H5",911
"T10_805_R148.H5",877
"T10_805_R152.H5",916
"T10_805_R156.H5",913
"T10_805_R166.H5",44
"T10_805_R172.H5",116
"T10_805_R176.H5",111
"T10_805_R184.H5",66
"T10_805_R188.H5",101
"T10_805_R196.H5",60
"T10_805_R200.H5",65
"T10_805_R204.H5",62
"T10_805_R208.H5",34
"T10_805_R212.H5",69
"T10_805_R216.H5",67
"T10_805_R226.H5",41
"T10_805_R232.H5",117
"T10_805_R236.H5",110
"T10_805_R244.H5",67
"T10_805_R248.H5",643
"T10_805_R256.H5",65
"T10_805_R260.H5",61
"T10_805_R264.H5",59
"T10_805_R268.H5",31
"T10_805_R272.H5",63
"T10_805_R276.H5",61
"T10_805_R286.H5",45
"T10_805_R292.H5",103
"T10_805_R296.H5",104
"T10_805_R304.H5",79
"T10_805_R308.H5",116
"T10_805_R316.H5",167
"T10_805_R320.H5",55
"T10_805_R324.H5",54
"T10_805_R328.H5",29
"T10_805_R332.H5",57
"T10_805_R336.H5",57
"T10_805_R346.H5",41
"T10_805_R352.H5",102
"T10_805_R356.H5",586
"T10_805_R364.H5",54
"T10_805_R368.H5",497
"T10_805_R376.H5",163
"T10_805_R380.H5",51
"T10_805_R384.H5",50
"T10_805_R388.H5",26
"T10_805_R392.H5",49
"T10_805_R396.H5",49
"T10_805_R406.H5",55
"T10_805_R412.H5",94
"T10_805_R416.H5",83
"T10_805_R424.H5",52
"T10_805_R428.H5",66
"T10_805_R436.H5",154
"T10_805_R440.H5",43
"T10_805_R444.H5",45
"T10_805_R448.H5",24
"T10_805_R452.H5",47
"T10_805_R456.H5",47
"T10_805_R466.H5",35
"T10_805_R472.H5",86
"T10_805_R476.H5",75
"T10_805_R484.H5",73
"T10_805_R488.H5",63
"T10_805_R496.H5",157
"T10_805_R500.H5",48
"T10_805_R504.H5",46
"T10_805_R508.H5",26
"T10_805_R512.H5",46
"T10_805_R516.H5",44
"T10_805_R526.H5",40
"T10_805_R532.H5",84
"T10_805_R536.H5",76
"T10_805_R544.H5",50
"T10_805_R548.H5",74
"T10_805_R556.H5",151
"T10_805_R560.H5",42
"T10_805_R564.H5",44
"T10_805_R568.H5",26
"T10_805_R572.H5",48
"T10_805_R576.H5",46
"T10_805_R586.H5",38
"T10_805_R592.H5",84
"T10_805_R596.H5",70
"T10_805_R604.H5",48
"T10_805_R608.H5",75
"T10_805_R616.H5",152
"T10_805_R620.H5",47
"T10_805_R624.H5",47
"T10_805_R628.H5",24
"T10_805_R632.H5",47
"T10_805_R636.H5",45
"T10_805_R646.H5",32
"T10_805_R652.H5",80
"T10_805_R656.H5",68
"T10_805_R664.H5",49
"T10_805_R668.H5",61
"T10_805_R676.H5",156
"T10_805_R680.H5",50
"T10_805_R684.H5",54
"T10_805_R688.H5",35
"T10_805_R692.H5",57
"T10_805_R696.H5",55
"T10_805_R706.H5",33
"T10_805_R712.H5",94
"T10_805_R716.H5",73
"T10_805_R724.H5",47
"T10_805_R728.H5",67
"T10_805_R736.H5",45
"T10_805_R740.H5",44
"T10_805_R744.H5",47
"T10_805_R748.H5",30
"T10_805_R752.H5",45
"T10_805_R756.H5",45
"T10_805_R766.H5",27
"T10_805_R772.H5",724
"T10_805_R776.H5",74
"T10_805_R784.H5",46
"T10_805_R788.H5",60
"T10_805_R796.H5",45
"T10_805_R800.H5",45
"T10_805_R804.H5",49
"T10_805_R808.H5",35
"T10_805_R812.H5",52
"T10_805_R816.H5",52
"T10_805_R826.H5",24
"T10_805_R832.H5",80
"T10_805_R836.H5",63
"T12_100_R306.H5",1
"T12_100_R310.H5",1
"T12_100_R314.H5",1
"T12_100_R318.H5",1
"T12_100_R322.H5",1
"T12_100_R326.H5",1
"T12_100_R330.H5",1
"T12_100_R334.H5",1
"T12_100_R338.H5",1
"T12_100_R342.H5",1
"T12_100_R346.H5",6833
"T12_100_R358.H5",1
"T12_100_R362.H5",1
"T12_100_R366.H5",1
"T12_100_R370.H5",1
"T12_100_R374.H5",1
"T12_100_R378.H5",1
"T12_100_R382.H5",1
"T12_100_R386.H5",1
"T12_100_R390.H5",207
"T12_100_R394.H5",145
"T12_100_R398.H5",1703
"T12_100_R722.H5",1
"T12_100_R726.H5",1
"T12_100_R730.H5",1
